Region,Mode,Name,Construction period,Estimated construction cost (USD),Components,Website
Boston MA,Station,Government Center Renovation,2013-2016,90000000,New station complex,http://www.mbta.com/about_the_mbta/t_projects/default.asp?id=1004
Chicago IL,Station,95th Street Station,2014-2017,24000000,New Building; Retail; Received US DOT TIGER grant,http://www.transitchicago.com/95thTerminal/
Chicago IL,Station,Wilson Station,2014-2017,20000000,Renovation; Retail,http://www.transitchicago.com/wilson/
New York NY,Station,George Washington Bridge Station,2013-2016,18000000,Renovation; Retail,http://www.panynj.gov/bus-terminals/gwbbs-renovation.html
New York NY,Station,Jamaica Capacity Improvement Phase 1,2014-2018,30000000,New platform; cross-borough scoot service,http://web.mta.info/capitaldashboard/allframenew_head.html?PROJNUM=l60304tu&amp;PLTYPE=1
New York NY,Station,PATH Harrison Station Replacement Project,2013-2017,25000000,New Station Complex,http://www.panynj.gov/path/harrisonredevelopment.html
Toronto ON,Station,Toronto Union Station,2010-2016,75000000,Renovation; Train Shed,http://www.gotransit.com/UnionStation/en/default.aspx
