Region,Mode,Name,Project status,Website
Charlotte NC,Station,Gateway Station,In planning; Funded by TIGER grant; significant funding gap remains,http://charmeck.org/city/charlotte/cats/planning/facilities/gatewaystation/Pages/projectoverview.aspx
New York NY,Station,Port Authority Bus Terminal Replacement,In initial planning; could cost several billion to rebuild.,http://www.panynj.gov/bus-terminals/pabt-master-plan.html
New York NY,Station,Empire Station Complex,Proposed by Gov Cuomo in early 2016; unclear funding plan.,https://www.governor.ny.gov/sites/governor.ny.gov/files/atoms/files/EmpireStationComplex.pdf
